Wavelength (nm),Reflectance Factor (%)
2078,89.452071
2079,89.434987
2080,89.428121
2081,89.371016
2082,89.369629
2083,89.363101
2084,89.315401
2085,89.309248
2086,89.33148
2087,89.292206
2088,89.263051
2089,89.25191
2090,89.240248
2091,89.22887
2092,89.225157
2093,89.19201
2094,89.171262
2095,89.162964
2096,89.153244
2097,89.147912
2098,89.114494
2099,89.06669
2100,89.049787
2101,89.031038
2102,88.983563
2103,88.950188
2104,88.913365
2105,88.901091
2106,88.850948
2107,88.793821
2108,88.750912
2109,88.714521
2110,88.672351
2111,88.621477
2112,88.573271
2113,88.558894
2114,88.516502
2115,88.467439
2116,88.432365
2117,88.408438
2118,88.356622
2119,88.313538
2120,88.280295
2121,88.228611
2122,88.181627
2123,88.129331
2124,88.103967
2125,88.072643
2126,88.037942
2127,88.008898
2128,87.959212
2129,87.905333
2130,87.872566
2131,87.875955
2132,87.8726
2133,87.856974
2134,87.845151
2135,87.840494
2136,87.823139
2137,87.801438
2138,87.822892
2139,87.836947
2140,87.834685
2141,87.831048
2142,87.851832
2143,87.882324
2144,87.902561
2145,87.902051
2146,87.92424
2147,87.981964
2148,88.016015
2149,88.013258
2150,88.061915
2151,88.095456
2152,88.111799
2153,88.14264
2154,88.164508
2155,88.183834
2156,88.262738
2157,88.310333
2158,88.321959
2159,88.382366
2160,88.436206
2161,88.47076
2162,88.517151
2163,88.564125
2164,88.605367
2165,88.673639
2166,88.716816
2167,88.755523
2168,88.820352
2169,88.872903
2170,88.913123
2171,89.008108
2172,89.026541
2173,89.086512
2174,89.142003
2175,89.16509
2176,89.200533
2177,89.275003
2178,89.332991
2179,89.368306
2180,89.378519
2181,89.43778
2182,89.464411
2183,89.519841
2184,89.564148
2185,89.563074
2186,89.63273
2187,89.648908
2188,89.690759
2189,89.709964
2190,89.765953
2191,89.797644
2192,89.80622
2193,89.836548
2194,89.851834
2195,89.858475
2196,89.89526
2197,89.888759
2198,89.88809
2199,89.904782
2200,89.896861
2201,89.914397
2202,89.953657
2203,89.950148
2204,89.943436
2205,89.964868
2206,89.989813
2207,89.996791
2208,90.015358
2209,90.001539
2210,90.037424
2211,90.053471
2212,90.058761
2213,90.093262
2214,90.149423
2215,90.164888
2216,90.135537
2217,90.185713
2218,90.191179
2219,90.190002
2220,90.231435
2221,90.224029
2222,90.15158
2223,90.181832
2224,90.128188
2225,90.139577
2226,90.109906
2227,90.12107
2228,90.057279
2229,90.084029
2230,90.042767
2231,90.043389
2232,90.015851
2233,90.029875
2234,90.011224
2235,90.010149
2236,89.998279
2237,90.004014
2238,90.038368
2239,90.0109
2240,89.985195
2241,89.950519
2242,89.948383
2243,89.899166
2244,89.834851
2245,89.835739
2246,89.795886
2247,89.749035
2248,89.735824
2249,89.651183
2250,89.631451
2251,89.611728
2252,89.60387
2253,89.632773
2254,89.598157
2255,89.584054
2256,89.559432
2257,89.540821
2258,89.545717
2259,89.544068
2260,89.5106
2261,89.49744
2262,89.503299
2263,89.458367
2264,89.454094
2265,89.432936
2266,89.430437
2267,89.435119
2268,89.404097
2269,89.419444
2270,89.405586
2271,89.399712
2272,89.381712
2273,89.365856
2274,89.358727
2275,89.357599
2276,89.348568
2277,89.327767
2278,89.309056
2279,89.313922
2280,89.345036
2281,89.388157
2282,89.350141
2283,89.355727
2284,89.366807
2285,89.294293
2286,89.336139
2287,89.361264
2288,89.350423
2289,89.354114
2290,89.364337
2291,89.320906
2292,89.343406
2293,89.340311
2294,89.258943
2295,89.277712
2296,89.282938
2297,89.219864
2298,89.192457
2299,89.251086
2300,89.199486
2301,89.18657
2302,89.193341
2303,89.180079
2304,89.176406
2305,89.223771
2306,89.226278
2307,89.201943
2308,89.162282
2309,89.160419
2310,89.158739
2311,89.101725
2312,89.03647
2313,88.999161
2314,88.97253
2315,88.936887
2316,88.862155
2317,88.821703
2318,88.783966
2319,88.687146
2320,88.625165
2321,88.594679
2322,88.523088
2323,88.508117
2324,88.422051
2325,88.406482
2326,88.398212
2327,88.322054
2328,88.348153
2329,88.306746
2330,88.187236
2331,88.163563
2332,88.184247
2333,88.176141
2334,88.218919
2335,88.242353
2336,88.158971
2337,88.085306
2338,88.119993
2339,88.070376
2340,87.984892
2341,87.936988
2342,87.957015
2343,87.951694
2344,87.835951
2345,87.75586
2346,87.732563
2347,87.75323
2348,87.748127
2349,87.690527
2350,87.675329
2351,87.685367
2352,87.648167
2353,87.656318
2354,87.663219
2355,87.678831
2356,87.672307
2357,87.731722
2358,87.767381
2359,87.738557
2360,87.725424
2361,87.72843
2362,87.646877
2363,87.603206
2364,87.586702
2365,87.560543
2366,87.508862
2367,87.367313
2368,87.281989
2369,87.28132
2370,87.269017
2371,87.285568
2372,87.357544
2373,87.312266
2374,87.278877
2375,87.294402
2376,87.29846
2377,87.32834
2378,87.270735
2379,87.234531
2380,87.274174
2381,87.286327
2382,87.277613
2383,87.209688
2384,87.153469
2385,87.166626
2386,87.109204
2387,87.073163
2388,87.076314
2389,87.007003
2390,86.999137
2391,87.042717
2392,87.011918
2393,87.000402
2394,87.075219
2395,86.986498
2396,86.978871
2397,87.002656
2398,86.875275
2399,86.862484
2400,86.982671
2401,87.005
2402,86.818682
2403,86.848028
2404,86.897247
2405,86.872673
2406,86.86203
2407,86.887154
2408,86.860132
2409,86.90078
2410,86.749004
2411,86.839352
2412,86.913052
2413,86.897779
2414,86.861663
2415,86.739578
2416,86.837454
2417,86.877531
2418,86.831754
2419,86.856877
2420,86.795148
2421,86.932463
2422,86.884703
2423,86.907621
2424,86.907338
2425,86.704331
2426,86.873734
2427,86.913692
2428,86.712785
2429,86.849222
2430,86.785321
2431,86.862879
2432,86.761075
2433,86.777832
2434,86.937527
2435,86.886891
2436,86.84471
2437,86.687082
2438,86.642592
2439,86.755085
2440,86.762838
2441,86.870498
2442,86.828363
2443,86.774741
2444,86.750117
2445,86.78716
2446,86.887492
2447,86.82679
2448,86.819375
2449,86.891834
2450,86.744574
