Wavelength (nm),Reflectance Factor (%)
704,95.436007
705,95.412023
706,95.28447
707,95.345131
708,95.463526
709,95.583858
710,95.452392
711,95.267186
712,95.403138
713,95.342217
714,95.333001
715,95.403763
716,95.443861
717,95.307399
718,95.408065
719,95.493356
720,95.40726
721,95.396978
722,95.401487
723,95.390734
724,95.308641
725,95.256227
726,95.388732
727,95.217885
728,95.21274
729,95.363498
730,95.387774
731,95.280667
732,95.294486
733,95.145321
734,95.398897
735,95.262302
736,95.310821
737,95.174196
738,95.343314
739,95.28879
740,95.134083
741,95.213513
742,95.209126
743,95.340326
744,95.187379
745,95.262659
746,95.28165
747,95.257157
748,95.260092
749,95.499972
750,95.275312
751,95.111259
752,95.290764
753,95.101303
754,95.009206
755,95.321145
756,95.328199
757,95.300215
758,95.239885
759,95.102479
760,95.28475
761,95.243638
762,95.152493
763,95.278115
764,95.394392
765,95.212911
766,95.31247
767,95.320654
768,95.3984
769,95.318865
770,95.06686
771,95.275138
772,95.186481
773,95.255354
774,95.128688
775,95.13047
776,95.127509
777,95.312486
778,95.256151
779,95.172942
780,95.190704
781,95.203384
782,95.245884
783,95.165091
784,94.951911
785,95.061214
786,95.180754
787,95.358502
788,95.158605
789,95.099718
790,95.304648
791,95.295099
792,95.161003
793,95.130436
794,94.947447
795,95.074459
796,95.29962
797,95.10762
798,95.253382
799,95.21933
800,95.260648
801,95.250182
802,95.024005
803,95.1311
804,95.165454
805,95.245471
806,95.234176
807,94.964782
808,95.142443
809,95.001621
810,94.975452
811,94.877446
812,95.198638
813,95.279683
814,95.028399
815,94.904423
816,95.097464
817,95.215653
818,95.178668
819,95.097449
820,95.021927
821,95.067112
822,95.082597
823,95.065496
824,95.074261
825,95.061521
826,95.070671
827,95.070599
828,95.085175
829,95.052696
830,95.03922
831,95.046753
832,95.05516
833,95.053469
834,95.071804
835,95.091417
836,95.049328
837,95.04057
838,95.067672
839,95.046762
840,95.002498
841,95.016505
842,94.99545
843,94.952638
844,94.974819
845,94.995627
846,94.986874
847,95.009931
848,94.999653
849,94.963648
850,94.984829
851,94.994639
852,95.003747
853,95.011462
854,94.980991
855,94.970658
856,94.964677
857,94.955016
858,94.960896
859,94.9667
860,94.952842
861,94.947778
862,94.932549
863,94.926431
864,94.927279
865,94.91605
866,94.933315
867,94.918643
868,94.9218
869,94.922676
870,94.911668
871,94.913302
872,94.91739
873,94.963673
874,94.978568
875,94.935055
876,94.939486
877,94.957776
878,94.942442
879,94.915607
880,94.888543
881,94.904941
882,94.90601
883,94.915945
884,94.915239
885,94.878778
886,94.852332
887,94.862878
888,94.873455
889,94.85832
890,94.877696
891,94.862619
892,94.840619
893,94.862132
